DISTRICT,DIST_LGD,SUB_DIST,Subdt_LGD,NAME,CEN_2001,TYPE,STATE,nutrition_idx,protection_idx,education_idx,health_idx,child_anaemia,early_marriage,anc_4plus
Pashchim Champaran,211,Gaunaha,1015,Kataha,'1001000300046600,Village,Bihar,17.64,29.4,33.6,29.4,29.4,37.8,29.4
Pashchim Champaran,211,Ramnagar,1014,Kataha,'1001000200021000,Village,Bihar,18.06,30.1,34.4,30.1,30.1,38.7,30.1
Pashchim Champaran,211,Sidhaw,1013,Bairiya Kalan,'1001000100004100,Village,Bihar,18.48,30.8,35.2,30.8,30.8,39.6,30.8
Pashchim Champaran,211,Sidhaw,1013,Satchubanwa,'1001000100002000,Village,Bihar,18.9,31.5,36,31.5,31.5,40.5,31.5
Pashchim Champaran,211,Ramnagar,1014,Gobardhana,'1001000200024500,Village,Bihar,19.32,32.2,36.8,32.2,32.2,41.4,32.2
Pashchim Champaran,211,Sidhaw,1013,Bankatwa,'1001000100003700,Village,Bihar,19.74,32.9,37.6,32.9,32.9,42.3,32.9
Pashchim Champaran,211,Sidhaw,1013,Songaharwa,'1001000100002200,Village,Bihar,20.16,33.6,38.4,33.6,33.6,43.2,33.6
Pashchim Champaran,211,Gaunaha,1015,Kairi,'1001000300046500,Village,Bihar,20.58,34.3,39.2,34.3,34.3,44.1,34.3
Pashchim Champaran,211,Ramnagar,1014,Bairiya,'1001000200024900,Village,Bihar,21,35,40,35,35,45,35
Pashchim Champaran,211,Sidhaw,1013,Pipra,'1001000100002100,Village,Bihar,21.42,35.7,40.8,35.7,35.7,45.9,35.7
Pashchim Champaran,211,Ramnagar,1014,Banbari,'1001000200021400,Village,Bihar,21.84,36.4,41.6,36.4,36.4,46.8,36.4
Pashchim Champaran,211,Gaunaha,1015,Balwal,'1001000300047300,Village,Bihar,22.26,37.1,42.4,37.1,37.1,47.7,37.1
Pashchim Champaran,211,Sidhaw,1013,Mahuawa,'1001000100003600,Village,Bihar,22.68,37.8,43.2,37.8,37.8,48.6,37.8
Pashchim Champaran,211,Gaunaha,1015,Mahajogin,'1001000300046700,Village,Bihar,23.1,38.5,44,38.5,38.5,49.5,38.5
Pashchim Champaran,211,Gaunaha,1015,Parsa,'1001000300032800,Village,Bihar,23.52,39.2,44.8,39.2,39.2,50.4,39.2
Pashchim Champaran,211,Sidhaw,1013,Bairiya Khurd,'1001000100004200,Village,Bihar,23.94,39.9,45.6,39.9,39.9,51.3,39.9
Pashchim Champaran,211,Gaunaha,1015,Mandiha,'1001000300034800,Village,Bihar,24.36,40.6,46.4,40.6,40.6,52.2,40.6
Pashchim Champaran,211,Gaunaha,1015,Mahuawa,'1001000300032900,Village,Bihar,24.78,41.3,47.2,41.3,41.3,53.1,41.3
Pashchim Champaran,211,Sidhaw,1013,Dardari,'1001000100002300,Village,Bihar,25.2,42,48,42,42,54,42
Pashchim Champaran,211,Sidhaw,1013,Semra,'1001000100003800,Village,Bihar,25.62,42.7,48.8,42.7,42.7,54.9,42.7
Pashchim Champaran,211,Gaunaha,1015,Ekwa,'1001000300049000,Village,Bihar,26.04,43.4,49.6,43.4,43.4,55.8,43.4
Pashchim Champaran,211,Gaunaha,1015,Jamhauli,'1001000300038800,Village,Bihar,26.46,44.1,50.4,44.1,44.1,56.7,44.1
Pashchim Champaran,211,Gaunaha,1015,Pirari,'1001000300038600,Village,Bihar,26.88,44.8,51.2,44.8,44.8,57.6,44.8
Pashchim Champaran,211,Gaunaha,1015,Matiaria,'1001000300033200,Village,Bihar,27.3,45.5,52,45.5,45.5,58.5,45.5
Pashchim Champaran,211,Gaunaha,1015,Luathaha,'1001000300034700,Village,Bihar,27.72,46.2,52.8,46.2,46.2,59.4,46.2
Pashchim Champaran,211,Sidhaw,1013,Barba Kalan,'1001000100007800,Village,Bihar,28.14,46.9,53.6,46.9,46.9,60.3,46.9
Pashchim Champaran,211,Gaunaha,1015,Bajni,'1001000300038700,Village,Bihar,28.56,47.6,54.4,47.6,47.6,61.2,47.6
Pashchim Champaran,211,Sidhaw,1013,PandarKhap,'1001000100007700,Village,Bihar,28.98,48.3,55.2,48.3,48.3,62.1,48.3
Pashchim Champaran,211,Sidhaw,1013,Dewtaha,'1001000100003500,Village,Bihar,29.4,49,56,49,49,63,49
Pashchim Champaran,211,Gaunaha,1015,Hasti Bairia,'1001000300033000,Village,Bihar,29.82,49.7,56.8,49.7,49.7,63.9,49.7
Pashchim Champaran,211,Ramnagar,1014,Ghoraghat Khaira,'1001000200024800,Village,Bihar,30.24,50.4,57.6,50.4,50.4,64.8,50.4
Pashchim Champaran,211,Gaunaha,1015,Maguraha,'1001000300039100,Village,Bihar,30.66,51.1,58.4,51.1,51.1,65.7,51.1
Pashchim Champaran,211,Gaunaha,1015,Dumri,'1001000300038900,Village,Bihar,31.08,51.8,59.2,51.8,51.8,66.6,51.8
Pashchim Champaran,211,Ramnagar,1014,Manohagwan,'1001000200024700,Village,Bihar,31.5,52.5,60,52.5,52.5,67.5,52.5
Pashchim Champaran,211,Gaunaha,1015,Harkatwa,'1001000300039000,Village,Bihar,31.92,53.2,60.8,53.2,53.2,68.4,53.2
Pashchim Champaran,211,Ramnagar,1014,Hariharpur,'1001000200021600,Village,Bihar,32.34,53.9,61.6,53.9,53.9,69.3,53.9
Pashchim Champaran,211,Sidhaw,1013,Mahdewa,'1001000100004000,Village,Bihar,32.76,54.6,62.4,54.6,54.6,70.2,54.6
Pashchim Champaran,211,Gaunaha,1015,Bakhri,'1001000300034900,Village,Bihar,33.18,55.3,63.2,55.3,55.3,71.1,55.3
Pashchim Champaran,211,Gaunaha,1015,Parsa Dih,'1001000300047400,Village,Bihar,33.6,56,64,56,56,72,56
Pashchim Champaran,211,Sidhaw,1013,Harnatanr,'1001000100003900,Village,Bihar,34.02,56.7,64.8,56.7,56.7,72.9,56.7
Pashchim Champaran,211,Gaunaha,1015,Bhatujhila,'1001000300049100,Village,Bihar,34.44,57.4,65.6,57.4,57.4,73.8,57.4
Pashchim Champaran,211,Sidhaw,1013,Katharwa,'1001000100003400,Village,Bihar,34.86,58.1,66.4,58.1,58.1,74.7,58.1
Pashchim Champaran,211,Sidhaw,1013,Misraulia,'1001000100007200,Village,Bihar,35.28,58.8,67.2,58.8,58.8,75.6,58.8
Pashchim Champaran,211,Gaunaha,1015,Dharampur,'1001000300046800,Village,Bihar,35.7,59.5,68,59.5,59.5,76.5,59.5
Pashchim Champaran,211,Ramnagar,1014,Bankatwa,'1001000200025000,Village,Bihar,36.12,60.2,68.8,60.2,60.2,77.4,60.2
Pashchim Champaran,211,Gaunaha,1015,Bhawanipur,'1001000300045100,Village,Bihar,36.54,60.9,69.6,60.9,60.9,78.3,60.9
Pashchim Champaran,211,Gaunaha,1015,Bishunpurwa,'1001000300046400,Village,Bihar,36.96,61.6,70.4,61.6,61.6,79.2,61.6
Pashchim Champaran,211,Sidhaw,1013,Khajoria,'1001000100007500,Village,Bihar,37.38,62.3,71.2,62.3,62.3,80.1,62.3
Pashchim Champaran,211,Gaunaha,1015,Sonkhar,'1001000300047200,Village,Bihar,37.8,63,72,63,63,81,63
Pashchim Champaran,211,Gaunaha,1015,Khairatia,'1001000300048900,Village,Bihar,38.22,63.7,72.8,63.7,63.7,81.9,63.7
Pashchim Champaran,211,Sidhaw,1013,Amwa,'1001000100003300,Village,Bihar,38.64,64.4,73.6,64.4,64.4,82.8,64.4
Pashchim Champaran,211,Gaunaha,1015,Rajpur,'1001000300043600,Village,Bihar,39.06,65.1,74.4,65.1,65.1,83.7,65.1
Pashchim Champaran,211,Ramnagar,1014,Damrapur,'1001000200021500,Village,Bihar,39.48,65.8,75.2,65.8,65.8,84.6,65.8
Pashchim Champaran,211,Sidhaw,1013,Tariwanwa,'1001000100007900,Village,Bihar,39.9,66.5,76,66.5,66.5,85.5,66.5
Pashchim Champaran,211,Gaunaha,1015,Betahania,'1001000300047500,Village,Bihar,40.32,67.2,76.8,67.2,67.2,86.4,67.2
Pashchim Champaran,211,Gaunaha,1015,Botgonw,'1001000300046900,Village,Bihar,40.74,67.9,77.6,67.9,67.9,87.3,67.9
Pashchim Champaran,211,Gaunaha,1015,Domat,'1001000300046300,Village,Bihar,41.16,68.6,78.4,68.6,68.6,88.2,68.6
Pashchim Champaran,211,Sidhaw,1013,Berai,'1001000100002800,Village,Bihar,41.58,69.3,79.2,69.3,69.3,89.1,69.3
Pashchim Champaran,211,Gaunaha,1015,Sarpharwa,'1001000300038500,Village,Bihar,42,70,80,70,70,90,70
Pashchim Champaran,211,Gaunaha,1015,Sherpur,'1001000300034600,Village,Bihar,42.42,70.7,80.8,70.7,70.7,90.9,70.7
Pashchim Champaran,211,Gaunaha,1015,Sirsia,'1001000300034500,Village,Bihar,42.84,71.4,81.6,71.4,71.4,91.8,71.4
Pashchim Champaran,211,Gaunaha,1015,Sonbarsa,'1001000300033100,Village,Bihar,43.26,72.1,82.4,72.1,72.1,92.7,72.1
Pashchim Champaran,211,Sidhaw,1013,Chhatraul,'1001000100004300,Village,Bihar,43.68,72.8,83.2,72.8,72.8,93.6,72.8
Pashchim Champaran,211,Gaunaha,1015,Sembhupur,'1001000300047600,Village,Bihar,44.1,73.5,84,73.5,73.5,94.5,73.5
Pashchim Champaran,211,Sidhaw,1013,Amolba,'1001000100007600,Village,Bihar,44.52,74.2,84.8,74.2,74.2,95.4,74.2
Pashchim Champaran,211,Gaunaha,1015,Rupaulia,'1001000300039300,Village,Bihar,44.94,74.9,85.6,74.9,74.9,96.3,74.9
Pashchim Champaran,211,Sidhaw,1013,Naurangiya,'1001000100002600,Village,Bihar,45.36,75.6,86.4,75.6,75.6,97.2,75.6
Pashchim Champaran,211,Ramnagar,1014,Kanghusri,'1001000200024600,Village,Bihar,45.78,76.3,87.2,76.3,76.3,98.1,76.3
Pashchim Champaran,211,Ramnagar,1014,Sakhuani,'1001000200024400,Village,Bihar,46.2,77,88,77,77,99,77
Pashchim Champaran,211,Ramnagar,1014,Nautanwa,'1001000200024300,Village,Bihar,46.62,77.7,88.8,77.7,77.7,99.9,77.7
Pashchim Champaran,211,Gaunaha,1015,Dih Jagarnathpur,'1001000300035100,Village,Bihar,47.04,78.4,89.6,78.4,78.4,100.8,78.4
Pashchim Champaran,211,Sidhaw,1013,Kunai Lachhmipur,'1001000100008000,Village,Bihar,47.46,79.1,90.4,79.1,79.1,101.7,79.1
Pashchim Champaran,211,Gaunaha,1015,Bijaypur,'1001000300035000,Village,Bihar,47.88,79.8,91.2,79.8,79.8,102.6,79.8
Pashchim Champaran,211,Sidhaw,1013,Mainahamothia,'1001000100008200,Village,Bihar,48.3,80.5,92,80.5,80.5,103.5,80.5
Pashchim Champaran,211,Sidhaw,1013,Mohna,'1001000100003100,Village,Bihar,48.72,81.2,92.8,81.2,81.2,104.4,81.2
Pashchim Champaran,211,Gaunaha,1015,Bairia,'1001000300043100,Village,Bihar,49.14,81.9,93.6,81.9,81.9,105.3,81.9
Pashchim Champaran,211,Gaunaha,1015,Dumaria,'1001000300046200,Village,Bihar,49.56,82.6,94.4,82.6,82.6,106.2,82.6
Pashchim Champaran,211,Gaunaha,1015,Gawnaha,'1001000300048000,Village,Bihar,49.98,83.3,95.2,83.3,83.3,107.1,83.3
Pashchim Champaran,211,Gaunaha,1015,Gawnaha,'1001000300039200,Village,Bihar,50.4,84,96,84,84,108,84
Pashchim Champaran,211,Sidhaw,1013,Ghurauli,'1001000100002900,Village,Bihar,50.82,84.7,96.8,84.7,84.7,108.9,84.7
Pashchim Champaran,211,Ramnagar,1014,Dumri,'1001000200023900,Village,Bihar,51.24,85.4,97.6,85.4,85.4,109.8,85.4
Pashchim Champaran,211,Gaunaha,1015,Gheghaulia,'1001000300047000,Village,Bihar,51.66,86.1,98.4,86.1,86.1,110.7,86.1
Pashchim Champaran,211,Gaunaha,1015,Sithi,'1001000300035200,Village,Bihar,52.08,86.8,99.2,86.8,86.8,111.6,86.8
Pashchim Champaran,211,Sidhaw,1013,Bharchhi,'1001000100007400,Village,Bihar,52.5,87.5,100,87.5,87.5,112.5,87.5
Pashchim Champaran,211,Gaunaha,1015,Semri,'1001000300038400,Village,Bihar,52.92,88.2,100.8,88.2,88.2,113.4,88.2
Pashchim Champaran,211,Gaunaha,1015,Harpur,'1001000300039400,Village,Bihar,53.34,88.9,101.6,88.9,88.9,114.3,88.9
Pashchim Champaran,211,Gaunaha,1015,Kachkahar,'1001000300035400,Village,Bihar,53.76,89.6,102.4,89.6,89.6,115.2,89.6
Pashchim Champaran,211,Sidhaw,1013,Kerai,'1001000100002700,Village,Bihar,54.18,90.3,103.2,90.3,90.3,116.1,90.3
Pashchim Champaran,211,Sidhaw,1013,Matiaria,'1001000100003200,Village,Bihar,54.6,91,104,91,91,117,91
Pashchim Champaran,211,Gaunaha,1015,Dewarh,'1001000300048100,Village,Bihar,55.02,91.7,104.8,91.7,91.7,117.9,91.7
Pashchim Champaran,211,Gaunaha,1015,Parsauni,'1001000300049200,Village,Bihar,55.44,92.4,105.6,92.4,92.4,118.8,92.4
Pashchim Champaran,211,Gaunaha,1015,Bhatni,'1001000300047900,Village,Bihar,55.86,93.1,106.4,93.1,93.1,119.7,93.1
Pashchim Champaran,211,Mainatanr,1016,Manpur,'1001000400050600,Village,Bihar,56.28,93.8,107.2,93.8,93.8,120.6,93.8
Pashchim Champaran,211,Gaunaha,1015,Mahui,'1001000300033300,Village,Bihar,56.7,94.5,108,94.5,94.5,121.5,94.5
Pashchim Champaran,211,Gaunaha,1015,Supaul,'1001000300048800,Village,Bihar,57.12,95.2,108.8,95.2,95.2,122.4,95.2
Pashchim Champaran,211,Gaunaha,1015,Gawnaha,'1001000300048200,Village,Bihar,57.54,95.9,109.6,95.9,95.9,123.3,95.9
Pashchim Champaran,211,Sidhaw,1013,Kotraha,'1001000100002500,Village,Bihar,57.96,96.6,110.4,96.6,96.6,124.2,96.6
Pashchim Champaran,211,Gaunaha,1015,Masjidwa,'1001000300034400,Village,Bihar,58.38,97.3,111.2,97.3,97.3,125.1,97.3
Pashchim Champaran,211,Ramnagar,1014,Pokharia,'1001000200025100,Village,Bihar,58.8,98,112,98,98,126,98
Pashchim Champaran,211,Gaunaha,1015,Parsanda,'1001000300046100,Village,Bihar,59.22,98.7,112.8,98.7,98.7,126.9,98.7
Pashchim Champaran,211,Gaunaha,1015,Ratanpurwa,'1001000300046000,Village,Bihar,59.64,99.4,113.6,99.4,99.4,127.8,99.4
Pashchim Champaran,211,Gaunaha,1015,Baswaria,'1001000300038200,Village,Bihar,60.06,100.1,114.4,100.1,100.1,128.7,100.1
Pashchim Champaran,211,Sidhaw,1013,Garkatti,'1001000100004400,Village,Bihar,60.48,100.8,115.2,100.8,100.8,129.6,100.8
Pashchim Champaran,211,Ramnagar,1014,Siwrahi,'1001000200023800,Village,Bihar,60.9,101.5,116,101.5,101.5,130.5,101.5
Pashchim Champaran,211,Gaunaha,1015,Tara,'1001000300038300,Village,Bihar,61.32,102.2,116.8,102.2,102.2,131.4,102.2
Pashchim Champaran,211,Gaunaha,1015,Jamunia,'1001000300048300,Village,Bihar,61.74,102.9,117.6,102.9,102.9,132.3,102.9
Pashchim Champaran,211,Gaunaha,1015,Bishunpurwa,'1001000300035300,Village,Bihar,62.16,103.6,118.4,103.6,103.6,133.2,103.6
Pashchim Champaran,211,Gaunaha,1015,Ratni,'1001000300045900,Village,Bihar,62.58,104.3,119.2,104.3,104.3,134.1,104.3
Pashchim Champaran,211,Gaunaha,1015,Belwa,'1001000300033500,Village,Bihar,63,105,120,105,105,135,105
Pashchim Champaran,211,Gaunaha,1015,Tahkaul,'1001000300035600,Village,Bihar,63.42,105.7,120.8,105.7,105.7,135.9,105.7
Pashchim Champaran,211,Gaunaha,1015,Gujra Motihari,'1001000300033600,Village,Bihar,63.84,106.4,121.6,106.4,106.4,136.8,106.4
Pashchim Champaran,211,Gaunaha,1015,Parsa,'1001000300039500,Village,Bihar,64.26,107.1,122.4,107.1,107.1,137.7,107.1
Pashchim Champaran,211,Sidhaw,1013,Bhelahi,'1001000100008100,Village,Bihar,64.68,107.8,123.2,107.8,107.8,138.6,107.8
Pashchim Champaran,211,Gaunaha,1015,Dhamaura,'1001000300048700,Village,Bihar,65.1,108.5,124,108.5,108.5,139.5,108.5
Pashchim Champaran,211,Gaunaha,1015,Parsa,'1001000300034200,Village,Bihar,65.52,109.2,124.8,109.2,109.2,140.4,109.2
Pashchim Champaran,211,Gaunaha,1015,Khurhuria,'1001000300035800,Village,Bihar,65.94,109.9,125.6,109.9,109.9,141.3,109.9
Pashchim Champaran,211,Ramnagar,1014,Siswa,'1001000200021700,Village,Bihar,66.36,110.6,126.4,110.6,110.6,142.2,110.6
Pashchim Champaran,211,Ramnagar,1014,Bagahi,'1001000200024200,Village,Bihar,66.78,111.3,127.2,111.3,111.3,143.1,111.3
Pashchim Champaran,211,Gaunaha,1015,Pahkaul,'1001000300035700,Village,Bihar,67.2,112,128,112,112,144,112
Pashchim Champaran,211,Sidhaw,1013,Hathiwanwan,'1001000100009000,Village,Bihar,67.62,112.7,128.8,112.7,112.7,144.9,112.7
Pashchim Champaran,211,Sidhaw,1013,Dewriya,'1001000100007300,Village,Bihar,68.04,113.4,129.6,113.4,113.4,145.8,113.4
Pashchim Champaran,211,Sidhaw,1013,Kadamha,'1001000100010100,Village,Bihar,68.46,114.1,130.4,114.1,114.1,146.7,114.1
Pashchim Champaran,211,Sidhaw,1013,Bhitaha,'1001000100010000,Village,Bihar,68.88,114.8,131.2,114.8,114.8,147.6,114.8
Pashchim Champaran,211,Gaunaha,1015,Gamharia,'1001000300035500,Village,Bihar,69.3,115.5,132,115.5,115.5,148.5,115.5
Pashchim Champaran,211,Gaunaha,1015,Rampurwa,'1001000300039600,Village,Bihar,69.72,116.2,132.8,116.2,116.2,149.4,116.2
Pashchim Champaran,211,Gaunaha,1015,Bairia,'1001000300033400,Village,Bihar,70.14,116.9,133.6,116.9,116.9,150.3,116.9
Pashchim Champaran,211,Gaunaha,1015,Serahwa,'1001000300034300,Village,Bihar,70.56,117.6,134.4,117.6,117.6,151.2,117.6
Pashchim Champaran,211,Sidhaw,1013,Dholbajwa,'1001000100009100,Village,Bihar,70.98,118.3,135.2,118.3,118.3,152.1,118.3
Pashchim Champaran,211,Sidhaw,1013,Kataha,'1001000100009900,Village,Bihar,71.4,119,136,119,119,153,119
Pashchim Champaran,211,Sidhaw,1013,Amhat,'1001000100003000,Village,Bihar,71.82,119.7,136.8,119.7,119.7,153.9,119.7
Pashchim Champaran,211,Sidhaw,1013,Belahwa,'1001000100004900,Village,Bihar,72.24,120.4,137.6,120.4,120.4,154.8,120.4
Pashchim Champaran,211,Gaunaha,1015,Kehunia Dih,'1001000300045700,Village,Bihar,72.66,121.1,138.4,121.1,121.1,155.7,121.1
Pashchim Champaran,211,Ramnagar,1014,Parsauni,'1001000200025200,Village,Bihar,73.08,121.8,139.2,121.8,121.8,156.6,121.8
Pashchim Champaran,211,Sidhaw,1013,Jamira,'1001000100008300,Village,Bihar,73.5,122.5,140,122.5,122.5,157.5,122.5
Pashchim Champaran,211,Ramnagar,1014,Bakri Pachrukhiya,'1001000200025300,Village,Bihar,73.92,123.2,140.8,123.2,123.2,158.4,123.2
Pashchim Champaran,211,Gaunaha,1015,Genharia,'1001000300048400,Village,Bihar,74.34,123.9,141.6,123.9,123.9,159.3,123.9
Pashchim Champaran,211,Sidhaw,1013,Jarar,'1001000100004500,Village,Bihar,74.76,124.6,142.4,124.6,124.6,160.2,124.6
Pashchim Champaran,211,Gaunaha,1015,Bairia,'1001000300047800,Village,Bihar,75.18,125.3,143.2,125.3,125.3,161.1,125.3
Pashchim Champaran,211,Gaunaha,1015,Sisai,'1001000300045800,Village,Bihar,75.6,126,144,126,126,162,126
Pashchim Champaran,211,Mainatanr,1016,Puraina,'1001000400050500,Village,Bihar,76.02,126.7,144.8,126.7,126.7,162.9,126.7
Pashchim Champaran,211,Gaunaha,1015,Pahkaul,'1001000300045600,Village,Bihar,76.44,127.4,145.6,127.4,127.4,163.8,127.4
Pashchim Champaran,211,Sidhaw,1013,Misraulia,'1001000100002400,Village,Bihar,76.86,128.1,146.4,128.1,128.1,164.7,128.1
Pashchim Champaran,211,Mainatanr,1016,Chakarsen,'1001000400050700,Village,Bihar,77.28,128.8,147.2,128.8,128.8,165.6,128.8
Pashchim Champaran,211,Sidhaw,1013,Bihar,'1001000100004800,Village,Bihar,77.7,129.5,148,129.5,129.5,166.5,129.5
Pashchim Champaran,211,Sidhaw,1013,Balua,'1001000100004700,Village,Bihar,78.12,130.2,148.8,130.2,130.2,167.4,130.2
Pashchim Champaran,211,Gaunaha,1015,Bendauli,'1001000300045500,Village,Bihar,78.54,130.9,149.6,130.9,130.9,168.3,130.9
Pashchim Champaran,211,Sidhaw,1013,Nawatanwa,'1001000100008400,Village,Bihar,78.96,131.6,150.4,131.6,131.6,169.2,131.6
Pashchim Champaran,211,Sidhaw,1013,Pachrukha,'1001000100005000,Village,Bihar,79.38,132.3,151.2,132.3,132.3,170.1,132.3
Pashchim Champaran,211,Ramnagar,1014,Santpur,'1001000200021800,Village,Bihar,79.8,133,152,133,133,171,133
Pashchim Champaran,211,Sidhaw,1013,Sinagahi,'1001000100004600,Village,Bihar,80.22,133.7,152.8,133.7,133.7,171.9,133.7
Pashchim Champaran,211,Ramnagar,1014,Singahi,'1001000200024000,Village,Bihar,80.64,134.4,153.6,134.4,134.4,172.8,134.4
Pashchim Champaran,211,Mainatanr,1016,Pararia,'1001000400051000,Village,Bihar,81.06,135.1,154.4,135.1,135.1,173.7,135.1
Pashchim Champaran,211,Gaunaha,1015,Lachhmipur,'1001000300048500,Village,Bihar,81.48,135.8,155.2,135.8,135.8,174.6,135.8
