,DISTRICT,DIST_LGD,SUB_DIST,Subdt_LGD,NAME,CEN_2001,TYPE,STATE,nutrition_idx,protection_idx,education_idx,health_idx,child_anaemia,early_marriage,anc_4plus
1,Araria,188,Narpatganj,1112,Barmotra Arazi,'1007000100552200,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Kuchaha,'1007000700601300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Khuthara Mashragi,'1007000700598700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Barahmasia,'1007000700601600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Haripur,'1007000600594600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Khuthura Magrabi,'1007000600593700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Sundari,'1007000600594400,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Lachhmipur,'1007000100552600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Darha Pipra,'1007000600594800,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Chakorwa,'1007000100550800,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Rajaula,'1007000600594300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Tope Nawabganj,'1007000100552500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Hanumannagar,'1007000100552900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Bokantari,'1007000700601100,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Banmali,'1007000600594700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Tera Khurdah,'1007000700599000,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Dehpur Khardah Milik,'1007000700598900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Harira,'1007000600594200,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Dithaura,'1007000700600500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Anchraand Hanuman nagar,'1007000100552800,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Barahmasia Ranikatta,'1007000700601500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Saida Pokhar,'1007000700601400,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Bhagtira,'1007000600593600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Balchanda,'1007000600594000,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Chaita,'1007000600596000,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Bhanghi,'1007000100554500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Maratibpur,'1007000600593800,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Siktia,'1007000600596300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Dumari,'1007000100552700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Pararia Ranikatta,'1007000700602000,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Mirganj,'1007000200566800,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Baijnathpur,'1007000200563900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Damadighi,'1007000200565900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Shyamnagar,'1007000100550200,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Barahmasia Simalbani,'1007000700601700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Musanda,'1007000700599800,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Dahrahra,'1007000100553000,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Dahgawan,'1007000700602100,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Madhura,'1007000100553300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Amauna,'1007000200566700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Dhowabari,'1007000600593500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Pokharia,'1007000200562000,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Tirakharda,'1007000200565700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Kursakatta,'1007000600593900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Hathwa,'1007000200565800,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Paraia,'1007000700602200,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Asabhag,'1007000600596100,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Sahabganj,'1007000100553100,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Nirpur,'1007000200567200,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Bhawanipur,'1007000200567000,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Bhawanipur,'1007000200566900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Gausnagar,'1007000600594100,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Barahmasia Istamrar,'1007000700601800,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Pararia,'1007000700599100,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Khoragachhi,'1007000700600300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Baghua,'1007000200566100,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Milik Arazi,'1007000700599300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Dipaul,'1007000200567100,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Thengpur Pipra,'1007000700599400,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Khajurbari,'1007000600592700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Thengapur Pipra Milik Arazi,'1007000700599700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Batraha,'1007000600596200,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Kusamaha,'1007000200562100,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Pipra,'1007000200565600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Bhatiahi,'1007000200566600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Amgachhi,'1007000200561900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Kauakoh,'1007000700599200,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Dipnagar,'1007000700601900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Bathnaha,'1007000200566500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Thengapur Pipra Milik,'1007000700599600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Posdaha,'1007000100554400,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Shankarpur,'1007000600592800,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Kulharia Jagir,'1007000200561800,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Hata Bakhri,'1007000600593200,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Bakhri Milik,'1007000600593400,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Bardaha,'1007000700600000,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Shijhua Milik,'1007000600593000,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,khaira,'1007000100554300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Barantpur,'1007000200566200,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Singhia,'1007000700602300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Kamladorha,'1007000600593100,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Phena,'1007000200564500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Barhepara,'1007000100554600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Ramganj,'1007000200562200,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Mohiuddinpur,'1007000600592600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Nijkulharia,'1007000200561700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Chikni,'1007000600591300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Bhaptia,'1007000700600100,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Bhag Parasi,'1007000600597700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Bhadesar,'1007000200564600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Shijhua,'1007000600592900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Rajganj,'1007000100553200,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Dumaria,'1007000200566400,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Palasi,1119,Balua,'1007000800603700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Kabaia,'1007000700599500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Bakhri Milik,'1007000600593300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Dhengri,'1007000700599900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Parasi,'1007000600597600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Pipra,'1007000700603500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Shahbazpur,'1007000200566300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Asuri,'1007000200562300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Paikdara,'1007000600596500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Khoragachhi Milik,'1007000700602400,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Khoragachhi,'1007000700600200,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Bardaha,'1007000100553600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Maigara,'1007000600592500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Ramnagar,'1007000700603400,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Araria,1116,Saranpur,'1007000500584300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Lachhmipur,'1007000600592300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Parasi,'1007000100550100,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Sonapur,'1007000600592200,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Kolhua,'1007000600597900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Gadaha,'1007000200562400,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Dhanpura,'1007000200565300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Karahia,'1007000600597000,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Nathpur,'1007000100553400,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Hanskosa,'1007000200565500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Aulabari,'1007000700602500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Mal Parasi,'1007000600597500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Nathpur Arazi,'1007000100553500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Hasanpur Khurd,'1007000200561600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Pothia,'1007000700603300,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Matiari,'1007000200564800,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Goshainpur,'1007000600592400,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Palasi,1119,Bhantabari,'1007000800604900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Darhua,'1007000700602800,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Chhaparia,'1007000700602600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Palasi,1119,Chhapania,'1007000800604800,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Dumaria,'1007000200562600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Rangdaha,'1007000200561500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Nathpur Arazi,'1007000100553500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Nathpur Arazi,'1007000100553500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Sinwari,'1007000600597400,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Belbari,'1007000700603600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Hanskosa Khur,'1007000200562500,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Palasi,1119,Pipra Bijwara,'1007000800604700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Parwaha,'1007000200562900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Bairgachhi,'1007000700602900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Dargahiganj,'1007000100554700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Bhantabari,'1007000200564900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Potri,'1007000200562700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Palasi,1119,Belsari,'1007000800603900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Palasbani,'1007000600596900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Palasi,1119,Bangawan,'1007000800603800,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Mahesh Khunt,'1007000600591900,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Tamkura,'1007000600597100,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Phulbari,'1007000600596800,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Bhagchaura,'1007000200565400,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Dhanpura,'1007000200564700,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Bhorha,'1007000600592100,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Araria,1116,Dabhara Jagir,'1007000500584400,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Musapur,'1007000600596600,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Palasi,1119,Mahadeokol,'1007000800604000,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
