,DISTRICT,DIST_LGD,SUB_DIST,Subdt_LGD,NAME,CEN_2001,TYPE,STATE,nutrition_idx,protection_idx,education_idx,health_idx,child_anaemia,early_marriage,anc_4plus
2,Araria,188,Narpatganj,1112,Dumari,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Pararia Ranikatta,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Mirganj,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Baijnathpur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Damadighi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Shyamnagar,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Barahmasia Simalbani,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Musanda,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Dahrahra,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Dahgawan,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Madhura,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Amauna,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Dhowabari,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Pokharia,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Tirakharda,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Kursakatta,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Hathwa,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Paraia,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Asabhag,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Sahabganj,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Nirpur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Bhawanipur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Bhawanipur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Gausnagar,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Barahmasia Istamrar,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Pararia,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Khoragachhi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Baghua,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Milik Arazi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Dipaul,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Thengpur Pipra,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Khajurbari,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Thengapur Pipra Milik Arazi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Batraha,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Kusamaha,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Pipra,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Bhatiahi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Amgachhi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Kauakoh,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Dipnagar,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Bathnaha,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Thengapur Pipra Milik,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Posdaha,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Shankarpur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Kulharia Jagir,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Hata Bakhri,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Bakhri Milik,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Bardaha,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Shijhua Milik,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,khaira,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Barantpur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Singhia,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Kamladorha,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Phena,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Barhepara,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Ramganj,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Mohiuddinpur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Nijkulharia,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Chikni,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Bhaptia,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Bhag Parasi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Bhadesar,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Shijhua,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Rajganj,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Dumaria,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Palasi,1119,Balua,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Kabaia,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Bakhri Milik,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Dhengri,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Parasi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Pipra,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Shahbazpur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Asuri,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Paikdara,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Khoragachhi Milik,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Khoragachhi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Bardaha,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Maigara,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Ramnagar,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Araria,1116,Saranpur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Lachhmipur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Parasi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Sonapur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Kolhua,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Gadaha,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Dhanpura,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Karahia,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Nathpur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Hanskosa,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Aulabari,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Mal Parasi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Nathpur Arazi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Hasanpur Khurd,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Pothia,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Matiari,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Goshainpur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Palasi,1119,Bhantabari,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Darhua,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Chhaparia,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Palasi,1119,Chhapania,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Dumaria,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Rangdaha,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Nathpur Arazi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Nathpur Arazi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Sinwari,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Belbari,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Hanskosa Khur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Palasi,1119,Pipra Bijwara,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Parwaha,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Bairgachhi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Dargahiganj,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Bhantabari,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Forbesganj,1113,Potri,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Palasi,1119,Belsari,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Palasbani,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Palasi,1119,Bangawan,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Mahesh Khunt,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Tamkura,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Phulbari,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Forbesganj,1113,Bhagchaura,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Dhanpura,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Bhorha,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Araria,1116,Dabhara Jagir,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Musapur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Palasi,1119,Mahadeokol,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Palasi,1119,Charbana,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Baghmara,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Araria,1116,Dabhra,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
